state,state_string,value,mo,sc,ua,pd,ad
,Unconscious,-0.454256221639002,,,,,
11535,11535,0.218336089752582,1,1,5,3,5
11541,11541,0.401626300736198,1,1,5,4,1
11542,11542,0.340606832700084,1,1,5,4,2
11543,11543,0.288345369512623,1,1,5,4,3
11544,11544,0.0559986125679707,1,1,5,4,4
11545,11545,-0.0370789390981683,1,1,5,4,5
11551,11551,0.299307654860598,1,1,5,5,1
11552,11552,0.238288186824483,1,1,5,5,2
11553,11553,0.186026723637022,1,1,5,5,3
11554,11554,-0.0463200333076299,1,1,5,5,4
11555,11555,-0.139397584973769,1,1,5,5,5
12111,12111,0.939306164738584,1,2,1,1,1
12112,12112,0.878286696702469,1,2,1,1,2
12113,12113,0.826025233515009,1,2,1,1,3
12114,12114,0.593678476570357,1,2,1,1,4
12115,12115,0.500600924904218,1,2,1,1,5
12121,12121,0.872228451264777,1,2,1,2,1
12122,12122,0.811208983228663,1,2,1,2,2
12123,12123,0.758947520041202,1,2,1,2,3
12124,12124,0.52660076309655,1,2,1,2,4
12125,12125,0.433523211430411,1,2,1,2,5
12131,12131,0.814778270752951,1,2,1,3,1
12132,12132,0.753758802716836,1,2,1,3,2
12133,12133,0.701497339529376,1,2,1,3,3
12134,12134,0.469150582584723,1,2,1,3,4
12135,12135,0.376073030918584,1,2,1,3,5
12141,12141,0.5593632419022,1,2,1,4,1
12142,12142,0.498343773866086,1,2,1,4,2
12143,12143,0.446082310678625,1,2,1,4,3
12144,12144,0.213735553733973,1,2,1,4,4
12145,12145,0.120658002067834,1,2,1,4,5
12151,12151,0.4570445960266,1,2,1,5,1
12152,12152,0.396025127990485,1,2,1,5,2
12153,12153,0.343763664803025,1,2,1,5,3
12154,12154,0.111416907858372,1,2,1,5,4
12155,12155,0.0183393561922333,1,2,1,5,5
12211,12211,0.914165626299609,1,2,2,1,1
12212,12212,0.853146158263495,1,2,2,1,2
12213,12213,0.800884695076034,1,2,2,1,3
12214,12214,0.568537938131382,1,2,2,1,4
12215,12215,0.475460386465243,1,2,2,1,5
12221,12221,0.847087912825803,1,2,2,2,1
12222,12222,0.786068444789688,1,2,2,2,2
12223,12223,0.733806981602227,1,2,2,2,3
12224,12224,0.501460224657575,1,2,2,2,4
12225,12225,0.408382672991436,1,2,2,2,5
12231,12231,0.789637732313976,1,2,2,3,1
12232,12232,0.728618264277862,1,2,2,3,2
12233,12233,0.676356801090401,1,2,2,3,3
12234,12234,0.444010044145749,1,2,2,3,4
12235,12235,0.35093249247961,1,2,2,3,5
12241,12241,0.534222703463226,1,2,2,4,1
12242,12242,0.473203235427111,1,2,2,4,2
12243,12243,0.42094177223965,1,2,2,4,3
12244,12244,0.188595015294998,1,2,2,4,4
12245,12245,0.0955174636288591,1,2,2,4,5
12251,12251,0.431904057587625,1,2,2,5,1
12252,12252,0.37088458955151,1,2,2,5,2
12253,12253,0.31862312636405,1,2,2,5,3
